Method,Errors,Orders,Times
Runge_Kutty_4,"[0.03185795110648626, 0.001522259503040857, 8.425240232967646e-05, 5.403883665211495e-06, 3.428990082987582e-07, 2.1621907153601683e-08, 1.3579497526450268e-09, 8.508727056266707e-11, 5.326850072151501e-12, 3.2951419370874646e-13]","[0, 4.387367260781765, 4.1753526859419505, 3.9626493013687365, 3.9781409797029625, 3.987218045583106, 3.9929917786011155, 3.996342972808594, 3.997588733463398, 4.014870160559994]","[0.0009996891021728516, 0.0, 0.002000570297241211, 0.002000093460083008, 0.004000663757324219, 0.009002208709716797, 0.019004106521606445, 0.040009260177612305, 0.07501673698425293, 0.1560361385345459]"
Euler,"[0.6304179667454596, 0.4214788702684624, 0.19292342160835207, 0.09232982319698202, 0.04490548472782119, 0.02214849796938445, 0.01100175235047085, 0.005482217288604874, 0.0027364568652550325, 0.0013670670535028684]","[0, 0.58084834453826, 1.1274320047998878, 1.0631596733338613, 1.0399050584245533, 1.0196828018337871, 1.0094755303796108, 1.0049019175147276, 1.0024503952219896, 1.0012251078634122]","[0.0, 0.0009999275207519531, 0.0, 0.0, 0.0010006427764892578, 0.0010001659393310547, 0.00400090217590332, 0.00600123405456543, 0.012003183364868164, 0.025004863739013672]"
recountable_Euler,"[0.6860506691474717, 0.09239387006232325, 0.01832687755958151, 0.004121040016466404, 0.0009794190767719035, 0.0002392337352878915, 5.912213122716281e-05, 1.469717476265675e-05, 3.663970659095739e-06, 9.147057817848747e-07]","[0, 2.892446089125733, 2.333836130424833, 2.152880629976011, 2.0730102709369116, 2.033505452643649, 2.0166506623471556, 2.0081594240100116, 2.0040589969412155, 2.0020282750726213]","[0.0, 0.0010004043579101562, 0.0, 0.0010004043579101562, 0.002000093460083008, 0.004001140594482422, 0.0070018768310546875, 0.015002965927124023, 0.030007600784301758, 0.0600125789642334]"
Adams_Bashforth,"[0.4271712220365087, 0.3971487670555182, 0.036048272600642584, 0.0023471116881637055, 0.0001333780425083475, 1.148140863582725e-05, 8.254762655646175e-07, 5.508243816620961e-08, 3.553708882719775e-09, 2.2559243362252346e-10]","[0, 0.10513493335947316, 3.461677490827925, 3.9409717287557817, 4.1372934085727024, 3.5381496210246164, 3.7979291098454375, 3.905562409391716, 3.9541950134875132, 3.977534916042442]","[0.0, 0.0010001659393310547, 0.002000570297241211, 0.0030007362365722656, 0.007001638412475586, 0.013002872467041016, 0.026005983352661133, 0.05301237106323242, 0.10702347755432129, 0.21104741096496582]"
Adams_Bashforth_Moulton,"[0.10464963965893537, 0.09409607724359831, 0.013683401081436009, 0.000781748039416108, 3.331980931609024e-05, 2.091240104640235e-06, 1.5252639462559614e-07, 1.0247264814466917e-08, 6.631593052475182e-10, 4.2160497315535395e-11]","[0, 0.15336085892116477, 2.781707715673545, 4.129579358074617, 4.552251646421823, 3.9939495255879627, 3.7772278865794107, 3.8957481379299472, 3.949739590146396, 3.9753916887212744]","[0.0010008811950683594, 0.002000093460083008, 0.003000497817993164, 0.0070018768310546875, 0.013002634048461914, 0.02600574493408203, 0.05401253700256348, 0.10702395439147949, 0.21404814720153809, 0.4270966053009033]"
Gir_4,"[0.1911742550186508, 0.09616354884708522, 0.030495051986334953, 0.0018240410495284909, 7.047608646626458e-05, 6.6674377166009435e-06, 4.938160365064448e-07, 3.3315756375884575e-08, 2.1587971410497175e-09, 1.3733192361087276e-10]","[0, 0.9913262083220006, 1.656914963326276, 4.063365072910368, 4.693860573391575, 3.4019294655776093, 3.755086849624398, 3.8896971353141345, 3.947905060902254, 3.974488749322946]","[0.02800607681274414, 0.056012868881225586, 0.11302518844604492, 0.22605085372924805, 0.45110177993774414, 0.8902006149291992, 1.7794005870819092, 3.5417981147766113, 7.141609191894531, 14.230206489562988]"
Gir_4_iters,"[0.1517958027036614, 0.08249129465403099, 0.02058578075154016, 0.0014664499593324276, 7.58541756491482e-05, 1.4728672562691614e-05, 1.2578254893647056e-05, 8.83835318232773e-06, 9.871291048124675e-06, 2.7165516870431006e-06]","[0, 0.8798181152307352, 2.0025937126747535, 3.8112484194304685, 4.272955430970446, 2.364601188871794, 0.22769563513008403, 0.5090822889384269, -0.15946120184709628, 1.8614622874592972]","[0.0290067195892334, 0.05701327323913574, 0.11502552032470703, 0.2290513515472412, 0.4631044864654541, 0.9082045555114746, 1.7994053363800049, 3.589808940887451, 7.275639295578003, 14.442254543304443]"
