Method,Errors,Orders,Times
Runge_Kutty_4,"[0.0011407700896817197, 6.268165023248784e-05, 3.626136509726763e-06, 2.1916445547276453e-07, 1.3819968280870398e-08, 8.673965989913768e-10, 5.432143623806951e-11, 3.3999469906120794e-12, 2.120525977034049e-13, 3.774758283725532e-14]","[0, 4.185821088118075, 4.111538019443889, 4.048347494646349, 3.987187628502069, 3.9939187077854887, 3.9970982569871873, 3.9979374661469005, 4.003018191562915, 2.489965986785409]","[0.0009980201721191406, 0.001001119613647461, 0.0009999275207519531, 0.0020034313201904297, 0.005997657775878906, 0.01300191879272461, 0.02100682258605957, 0.037008047103881836, 0.0710151195526123, 0.14403319358825684]"
Euler,"[0.41904535199819404, 0.21028992230639498, 0.09788429719297476, 0.04665061305392948, 0.022710869583267623, 0.011197617371371038, 0.005558971557790393, 0.002769569024609897, 0.0013823121220886136, 0.0006905388097573351]","[0, 0.9947266771910347, 1.1032303703614637, 1.0691813979651918, 1.038513093337081, 1.0201911585460122, 1.0103018825992867, 1.005156506095759, 1.002578085643349, 1.0012890044665503]","[0.0, 0.0, 0.0, 0.0009999275207519531, 0.0009999275207519531, 0.0009999275207519531, 0.0030014514923095703, 0.007001399993896484, 0.013002872467041016, 0.025005340576171875]"
recountable_Euler,"[0.06188583904783673, 0.015135191990534036, 0.0036995918959754626, 0.0009106870861148586, 0.00022563784401841147, 5.6138402289906963e-05, 1.399964680004473e-05, 3.4954749108528915e-06, 8.733186627196687e-07, 2.18260605588938e-07]","[0, 2.03170234833091, 2.032468935782753, 2.0223388036190313, 2.0129463692069787, 2.0069491469339202, 2.0035975754661117, 2.00183004455093, 2.000908404065793, 2.000456412605441]","[0.0, 0.0, 0.0010006427764892578, 0.0009996891021728516, 0.0020003318786621094, 0.003000974655151367, 0.008002996444702148, 0.015002012252807617, 0.031006813049316406, 0.060013532638549805]"
Adams_Bashforth,"[0.06956935596351022, 0.010364625678945139, 0.0010495073011864697, 8.20840071340534e-05, 5.615146527748749e-06, 3.656033698007377e-07, 2.3292928474916152e-08, 1.4693832817158636e-09, 9.226441832765886e-11, 5.7696070143720135e-12]","[0, 2.746783950960283, 3.3038839058122327, 3.6764672315502045, 3.8697055859094127, 3.9409723973465254, 3.9723154307813844, 3.9866093617096356, 3.9932925736156846, 3.9992294204100935]","[0.0, 0.0010004043579101562, 0.002000570297241211, 0.003000497817993164, 0.006001949310302734, 0.014003753662109375, 0.026005029678344727, 0.05301189422607422, 0.10502386093139648, 0.21004652976989746]"
Adams_Bashforth_Moulton,"[0.01724331232957521, 0.0037647200194741437, 0.0004844819646754317, 3.89290023443678e-05, 2.689331680461038e-06, 1.7563432397338374e-07, 1.1204237981843335e-08, 7.072040730804474e-10, 4.4424908196560864e-11, 2.7844393457598926e-12]","[0, 2.195422452080248, 2.9580277103185675, 3.6375256833703284, 3.8555257707371173, 3.93660097510583, 3.97045837902751, 3.9857741381307945, 3.9926858837691337, 3.9959100234979226]","[0.0010001659393310547, 0.002001047134399414, 0.003000497817993164, 0.007001399993896484, 0.013003110885620117, 0.02600574493408203, 0.05301189422607422, 0.1070241928100586, 0.21104812622070312, 0.4210944175720215]"
Gir_4,"[0.018716777190340927, 0.004986911073459055, 0.0005145609362529058, 4.002980177908455e-05, 2.6799925509912725e-06, 1.7162937426817848e-07, 1.0833480779126603e-08, 6.800662255557199e-10, 4.2590819759880105e-11, 2.7551294579097885e-12]","[0, 1.9081136589056116, 3.2767326353568538, 3.684195559771448, 3.900773575910586, 3.9648605952297467, 3.9857277323638205, 3.993677798343858, 3.9970608410398247, 3.950350483396694]","[0.027005910873413086, 0.056012868881225586, 0.1090242862701416, 0.22305059432983398, 0.44409966468811035, 0.8862006664276123, 1.7633967399597168, 3.540797472000122, 7.071593523025513, 14.196152925491333]"
Gir_4_iters,"[0.017188589918353703, 0.005833619146448754, 0.0005446795300048102, 4.9464215251759924e-05, 2.127066926327359e-05, 4.009445604102879e-05, 2.5645976859500763e-05, 1.2909951380368767e-05, 3.2515221510820425e-06, 8.158905928645765e-07]","[0, 1.558988090205667, 3.4209116472044125, 3.460950555267142, 1.21751976168343, -0.9145373383131318, 0.6446702406271747, 0.990248957473067, 1.9892964100584873, 1.9946676406290695]","[0.028006792068481445, 0.058012962341308594, 0.11402606964111328, 0.2290506362915039, 0.45310235023498535, 0.9032037258148193, 1.8154091835021973, 3.589808702468872, 7.135607957839966, 14.434252262115479]"
